country_a,country_b,stage,group,location,time
Mexico,South Africa,Group Stage,Group A,"Estadio Azteca, Mexico City",2026-06-11T19:00:00Z
South Korea,Czech Republic,Group Stage,Group A,"Estadio Akron, Zapopan",2026-06-12T02:00:00Z
Canada,Bosnia and Herzegovina,Group Stage,Group B,"BMO Field, Toronto",2026-06-12T19:00:00Z
United States,Paraguay,Group Stage,Group D,"SoFi Stadium, Inglewood",2026-06-13T01:00:00Z
Haiti,Scotland,Group Stage,Group C,"Gillette Stadium, Foxborough",2026-06-14T01:00:00Z
Australia,Turkey,Group Stage,Group D,"BC Place, Vancouver",2026-06-14T04:00:00Z
Brazil,Morocco,Group Stage,Group C,"MetLife Stadium, East Rutherford",2026-06-13T22:00:00Z
Qatar,Switzerland,Group Stage,Group B,"Levi's Stadium, Santa Clara",2026-06-13T19:00:00Z
Ivory Coast,Ecuador,Group Stage,Group E,"Lincoln Financial Field, Philadelphia",2026-06-14T23:00:00Z
Germany,Curaçao,Group Stage,Group E,"NRG Stadium, Houston",2026-06-14T17:00:00Z
Netherlands,Japan,Group Stage,Group F,"AT&T Stadium, Arlington",2026-06-14T20:00:00Z
Sweden,Tunisia,Group Stage,Group F,"Estadio BBVA, Guadalupe",2026-06-15T02:00:00Z
Saudi Arabia,Uruguay,Group Stage,Group H,"Hard Rock Stadium, Miami Gardens",2026-06-15T22:00:00Z
Spain,Cape Verde,Group Stage,Group H,"Mercedes-Benz Stadium, Atlanta",2026-06-15T16:00:00Z
Iran,New Zealand,Group Stage,Group G,"SoFi Stadium, Inglewood",2026-06-16T01:00:00Z
Belgium,Egypt,Group Stage,Group G,"Lumen Field, Seattle",2026-06-15T19:00:00Z
France,Senegal,Group Stage,Group I,"MetLife Stadium, East Rutherford",2026-06-16T19:00:00Z
Iraq,Norway,Group Stage,Group I,"Gillette Stadium, Foxborough",2026-06-16T22:00:00Z
Argentina,Algeria,Group Stage,Group J,"Arrowhead Stadium, Kansas City",2026-06-17T01:00:00Z
Austria,Jordan,Group Stage,Group J,"Levi's Stadium, Santa Clara",2026-06-17T04:00:00Z
Ghana,Panama,Group Stage,Group L,"BMO Field, Toronto",2026-06-17T23:00:00Z
England,Croatia,Group Stage,Group L,"AT&T Stadium, Arlington",2026-06-17T20:00:00Z
Portugal,DR Congo,Group Stage,Group K,"NRG Stadium, Houston",2026-06-17T17:00:00Z
Uzbekistan,Colombia,Group Stage,Group K,"Estadio Azteca, Mexico City",2026-06-18T02:00:00Z
Czech Republic,South Africa,Group Stage,Group A,"Mercedes-Benz Stadium, Atlanta",2026-06-18T16:00:00Z
Switzerland,Bosnia and Herzegovina,Group Stage,Group B,"SoFi Stadium, Inglewood",2026-06-18T19:00:00Z
Canada,Qatar,Group Stage,Group B,"BC Place, Vancouver",2026-06-18T22:00:00Z
Mexico,South Korea,Group Stage,Group A,"Estadio Akron, Zapopan",2026-06-19T01:00:00Z
Brazil,Haiti,Group Stage,Group C,"Lincoln Financial Field, Philadelphia",2026-06-20T00:30:00Z
Scotland,Morocco,Group Stage,Group C,"Gillette Stadium, Foxborough",2026-06-19T22:00:00Z
Turkey,Paraguay,Group Stage,Group D,"Levi's Stadium, Santa Clara",2026-06-20T03:00:00Z
United States,Australia,Group Stage,Group D,"Lumen Field, Seattle",2026-06-19T19:00:00Z
Germany,Ivory Coast,Group Stage,Group E,"BMO Field, Toronto",2026-06-20T20:00:00Z
Ecuador,Curaçao,Group Stage,Group E,"Arrowhead Stadium, Kansas City",2026-06-21T00:00:00Z
Netherlands,Sweden,Group Stage,Group F,"NRG Stadium, Houston",2026-06-20T17:00:00Z
Tunisia,Japan,Group Stage,Group F,"Estadio BBVA, Guadalupe",2026-06-21T04:00:00Z
Uruguay,Cape Verde,Group Stage,Group H,"Hard Rock Stadium, Miami Gardens",2026-06-21T22:00:00Z
Spain,Saudi Arabia,Group Stage,Group H,"Mercedes-Benz Stadium, Atlanta",2026-06-21T16:00:00Z
